address,name,size,status,match_percent,unit,evidence
0x00409CA0,th08::Background::CutChain,50,matching,100.00,background-cut-chain,python3 scripts/compare-function.py background-cut-chain --json
0x0042E120,th08::EnemyManager::OnDrawHighPrio,23,matching,100.00,enemy-manager-draw-high,python3 scripts/compare-function.py enemy-manager-draw-high --json
0x0042EB90,th08::EnemyManager::OnDrawLowPrio,92,matching,100.00,enemy-manager-draw-low,python3 scripts/compare-function.py enemy-manager-draw-low --json
0x0042EF70,th08::EnemyManager::CutChain,50,matching,100.00,enemy-manager-cut-chain,python3 scripts/compare-function.py enemy-manager-cut-chain --json
0x00433820,th08::BulletManager::DeletedCallback,35,matching,100.00,bullet-manager-deleted-callback,python3 scripts/compare-function.py bullet-manager-deleted-callback --json
0x00433850,th08::BulletManager::CutChain,35,matching,100.00,bullet-manager-cut-chain,python3 scripts/compare-function.py bullet-manager-cut-chain --json
0x004338B0,th08::IsResourceReloadEnabled,10,matching,100.00,resource-reload-enabled,python3 scripts/compare-function.py resource-reload-enabled --json
0x004338C0,th08::IsBulletManagerAnmReleaseRequired,10,matching,100.00,bullet-manager-anm-release-required,python3 scripts/compare-function.py bullet-manager-anm-release-required --json
0x00438FF3,th08::FUN_00438ff3,10,matching,100.00,gui-bullet-anm-release-required,python3 scripts/compare-function.py gui-bullet-anm-release-required --json
0x00438FFD,th08::FUN_00438ffd,10,matching,100.00,gui-anm-release-required,python3 scripts/compare-function.py gui-anm-release-required --json
0x00437A2F,th08::Gui::AddedCallback,17,matching,100.00,gui-added-callback,python3 scripts/compare-function.py gui-added-callback --json
0x00437A40,th08::Gui::DeletedCallback,144,matching,100.00,gui-deleted-callback,python3 scripts/compare-function.py gui-deleted-callback --json
0x00437D64,th08::Gui::CutChain,35,matching,100.00,gui-cut-chain,python3 scripts/compare-function.py gui-cut-chain --json
0x004397D5,th08::Gui::FreeMsgFile,59,matching,100.00,gui-free-msg-file,python3 scripts/compare-function.py gui-free-msg-file --json
0x004399AC,th08::GameManager::IsWithinPlayfield,130,matching,100.00,game-manager-is-within-playfield,python3 scripts/compare-function.py game-manager-is-within-playfield --json
0x0043B936,th08::GameManager::InitRankParams,78,matching,100.00,game-manager-init-rank-params,python3 scripts/compare-function.py game-manager-init-rank-params --json
0x0043C322,th08::GameManager::IsReplayPractice,61,matching,100.00,game-manager-is-replay-practice,python3 scripts/compare-function.py game-manager-is-replay-practice --json
0x004413E0,th08::ItemManager::AutoCollectAllItems,97,matching,100.00,item-auto-collect,python3 scripts/compare-function.py item-auto-collect --json
0x00441530,th08::ItemManager::CancelAutoCollect,109,matching,100.00,item-cancel-auto-collect,python3 scripts/compare-function.py item-cancel-auto-collect --json
0x00445BC0,th08::Supervisor::DrawFpsCounter,20,matching,100.00,supervisor-draw-fps-counter,python3 scripts/compare-function.py supervisor-draw-fps-counter --json
0x00448A2F,th08::Supervisor::DeleteCriticalSections,54,matching,100.00,supervisor-delete-critical-sections,python3 scripts/compare-function.py supervisor-delete-critical-sections --json
0x0044DD10,th08::Player::CutChain,85,matching,100.00,player-cut-chain,python3 scripts/compare-function.py player-cut-chain --json
0x0044C230,th08::Player::RegisterChain,351,matching,100.00,player-register-chain,python3 scripts/compare-function.py player-register-chain --json
0x0044C5B0,th08::Player::FUN_0044c5b0,159,matching,100.00,player-slot-pool-update,python3 scripts/compare-function.py player-slot-pool-update --json
0x0044D2C0,th08::Player::FUN_0044d2c0,338,matching,100.00,player-state-timer-update,python3 scripts/compare-function.py player-state-timer-update --json
0x0044DC60,th08::Player::DeletedCallback,164,matching,100.00,player-deleted-callback,python3 scripts/compare-function.py player-deleted-callback --json
0x0044DE60,th08::Player::FUN_0044de60,153,matching,100.00,player-slot-allocate-c,python3 scripts/compare-function.py player-slot-allocate-c --json
0x0044DF00,th08::Player::FUN_0044df00,153,matching,100.00,player-slot-allocate-c-radius,python3 scripts/compare-function.py player-slot-allocate-c-radius --json
0x0044DFA0,th08::Player::FUN_0044dfa0,153,matching,100.00,player-slot-allocate-b,python3 scripts/compare-function.py player-slot-allocate-b --json
0x0044E040,th08::Player::FUN_0044e040,153,matching,100.00,player-slot-allocate-b-radius,python3 scripts/compare-function.py player-slot-allocate-b-radius --json
0x0044E0E0,th08::IsResourceReloadDisabled,15,matching,100.00,resource-reload-disabled,python3 scripts/compare-function.py resource-reload-disabled --json
0x0044E0F0,th08::AnmVmBase::SetBlendModeAdditive,35,matching,100.00,anm-vm-base-blend-additive,python3 scripts/compare-function.py anm-vm-base-blend-additive --json
0x0044E120,th08::AnmVmBase::SetBlendModeNormal,32,matching,100.00,anm-vm-base-blend-normal,python3 scripts/compare-function.py anm-vm-base-blend-normal --json
0x0044E140,th08::GameManager::SetYoukaiGauge,27,matching,100.00,game-manager-set-youkai-gauge,python3 scripts/compare-function.py game-manager-set-youkai-gauge --json
0x0044E350,th08::PlayerUnkStruct0x40::Deactivate,18,matching,100.00,player-region-deactivate,python3 scripts/compare-function.py player-region-deactivate --json
0x0044E370,th08::PlayerUnkStruct0x40::Reset,35,matching,100.00,player-region-reset,python3 scripts/compare-function.py player-region-reset --json
0x0044EE70,FUN_0044ee70,1059,matching,100.00,player-option-orbit-0044ee70,python3 scripts/compare-function.py player-option-orbit-0044ee70 --json
0x0044F2D0,FUN_0044f2d0,737,matching,100.00,player-option-facing-0044f2d0,python3 scripts/compare-function.py player-option-facing-0044f2d0 --json
0x0045C0E0,th08::ScreenEffect::AddedCallback,26,matching,100.00,screen-effect-added,python3 scripts/compare-function.py screen-effect-added --json
0x0045C100,th08::ScreenEffect::DeletedCallback,94,matching,100.00,screen-effect-deleted,python3 scripts/compare-function.py screen-effect-deleted --json
0x0045BC40,th08::ScreenEffect::DrawArcadeFade,69,matching,100.00,screen-effect-draw-arcade-fade,python3 scripts/compare-function.py screen-effect-draw-arcade-fade --json
0x00402130,th08::AsciiManagerString::AsciiManagerString,25,matching,100.00,ascii-manager-string-constructor,python3 scripts/compare-function.py ascii-manager-string-constructor --json
0x00402150,th08::PauseMenu::PauseMenu,52,matching,100.00,pause-menu-constructor,python3 scripts/compare-function.py pause-menu-constructor --json
0x00402190,th08::RetryMenu::RetryMenu,52,matching,100.00,retry-menu-constructor,python3 scripts/compare-function.py retry-menu-constructor --json
0x004021D0,th08::AsciiManagerPopup::AsciiManagerPopup,36,matching,100.00,ascii-manager-popup-constructor,python3 scripts/compare-function.py ascii-manager-popup-constructor --json
0x00402430,th08::AsciiManager::OnDrawHighPrio,24,matching,100.00,ascii-manager-draw-high,python3 scripts/compare-function.py ascii-manager-draw-high --json
0x004070B0,th08::AsciiManager::SetGaugeInterrupt,101,matching,100.00,ascii-manager-set-gauge-interrupt,python3 scripts/compare-function.py ascii-manager-set-gauge-interrupt --json
0x00422BB0,th08::AsciiManager::FUN_00422bb0,42,matching,100.00,ascii-manager-boss-marker-interrupt,python3 scripts/compare-function.py ascii-manager-boss-marker-interrupt --json
0x004028C0,th08::AsciiManager::DeletedCallback,39,matching,100.00,ascii-manager-deleted-callback,python3 scripts/compare-function.py ascii-manager-deleted-callback --json
0x004028F0,th08::AsciiManager::CutChain,35,matching,100.00,ascii-manager-cut-chain,python3 scripts/compare-function.py ascii-manager-cut-chain --json
0x00437D45,th08::GuiFormattedText::GuiFormattedText,31,matching,100.00,gui-formatted-text-constructor,python3 scripts/compare-function.py gui-formatted-text-constructor --json
0x0043C317,th08::GameManager::IsPhantasmUnlocked,11,matching,100.00,game-manager-is-phantasm-unlocked,python3 scripts/compare-function.py game-manager-is-phantasm-unlocked --json
0x00406520,th08::ChainElem::SetCallback,42,matching,100.00,chain-elem-set-callback-ascii,python3 scripts/compare-function.py chain-elem-set-callback-ascii --json
0x00406550,th08::Supervisor::IsSoftwareTexturing,40,matching,100.00,supervisor-software-texturing-ascii,python3 scripts/compare-function.py supervisor-software-texturing-ascii --json
0x004065A0,th08::ZunTimer::ZunTimer,22,matching,100.00,zun-timer-constructor-ascii,python3 scripts/compare-function.py zun-timer-constructor-ascii --json
0x004065C0,th08::ZunTimer::Initialize,40,matching,100.00,zun-timer-initialize-ascii,python3 scripts/compare-function.py zun-timer-initialize-ascii --json
0x004065F0,th08::ZunTimer::operator=,25,matching,100.00,zun-timer-assign-ascii,python3 scripts/compare-function.py zun-timer-assign-ascii --json
0x00406610,th08::ZunTimer::SetCurrent,41,matching,100.00,zun-timer-set-current-ascii,python3 scripts/compare-function.py zun-timer-set-current-ascii --json
0x00406640,th08::ZunTimer::operator++(int),21,matching,100.00,zun-timer-post-increment,python3 scripts/compare-function.py zun-timer-post-increment --json
0x00406660,th08::ZunTimer::Tick,52,matching,100.00,zun-timer-tick,python3 scripts/compare-function.py zun-timer-tick --json
0x004068E0,th08::AnmVmBase::Initialize,95,matching,100.00,anm-vm-base-initialize,python3 scripts/compare-function.py anm-vm-base-initialize --json
0x004066E0,th08::AnmVmBase::IsVisible,23,matching,100.00,anm-vm-base-is-visible,python3 scripts/compare-function.py anm-vm-base-is-visible --json
0x00406700,th08::AnmVm::ClearVisible,32,matching,100.00,anm-vm-clear-visible,python3 scripts/compare-function.py anm-vm-clear-visible --json
0x0040B9B0,th08::AnmManager::ClearBlendMode,21,matching,100.00,anm-manager-clear-blend-mode,python3 scripts/compare-function.py anm-manager-clear-blend-mode --json
0x0040B9D0,th08::AnmManager::ClearColorOp,21,matching,100.00,anm-manager-clear-color-op,python3 scripts/compare-function.py anm-manager-clear-color-op --json
0x0040B9F0,th08::AnmManager::ClearVertexShader,21,matching,100.00,anm-manager-clear-vertex-shader,python3 scripts/compare-function.py anm-manager-clear-vertex-shader --json
0x0043F828,th08::TextHelper::GetBuffer,15,matching,100.00,text-helper-get-buffer,python3 scripts/compare-function.py text-helper-get-buffer --json
0x0043F837,th08::TextHelper::GetImageWidthInBytes,15,matching,100.00,text-helper-get-image-width-in-bytes,python3 scripts/compare-function.py text-helper-get-image-width-in-bytes --json
0x0043F846,th08::TextHelper::GetHeight,15,matching,100.00,text-helper-get-height,python3 scripts/compare-function.py text-helper-get-height --json
0x0043F855,th08::TextHelper::GetHDC,15,matching,100.00,text-helper-get-hdc,python3 scripts/compare-function.py text-helper-get-hdc --json
0x0043F864,th08::TextHelper::GetWidth,15,matching,100.00,text-helper-get-width,python3 scripts/compare-function.py text-helper-get-width --json
0x0043F873,th08::TextHelper::GetFormat,14,matching,100.00,text-helper-get-format,python3 scripts/compare-function.py text-helper-get-format --json
0x0043F881,th08::TextHelper::IsAllocated,23,matching,100.00,text-helper-is-allocated,python3 scripts/compare-function.py text-helper-is-allocated --json
0x00443A50,th08::Supervisor::IsHardwareBlendingDisabled,23,matching,100.00,supervisor-hardware-blending-disabled-main,python3 scripts/compare-function.py supervisor-hardware-blending-disabled-main --json
0x00443A70,th08::Supervisor::IsVertexBufferDisabled,25,matching,100.00,supervisor-vertex-buffer-disabled-main,python3 scripts/compare-function.py supervisor-vertex-buffer-disabled-main --json
